timestamp,object_id,x,y,z
0.000,sun,0.0000,0.0000,0.0000
0.000,mercury,0.0000,0.8000,0.0000
0.000,venus,0.0000,0.8360,0.8608
0.000,earth,0.0000,-0.0496,1.6993
0.000,mars,0.0000,-1.6223,1.4860
1.000,sun,0.2500,0.0000,0.0000
1.000,mercury,0.2500,0.4000,0.6928
1.000,venus,0.2500,0.0871,1.1968
1.000,earth,0.2500,-0.8926,1.4468
1.000,mars,0.2500,-2.0675,0.7521
2.000,sun,0.5000,0.0000,0.0000
2.000,mercury,0.5000,-0.4000,0.6928
2.000,venus,0.5000,-0.7026,0.9728
2.000,earth,0.5000,-1.4964,0.8066
2.000,mars,0.5000,-2.1979,-0.0963
3.000,sun,0.7500,0.0000,0.0000
3.000,mercury,0.7500,-0.8000,0.0000
3.000,venus,0.7500,-1.1635,0.2936
3.000,earth,0.7500,-1.6993,-0.0496
3.000,mars,0.7500,-1.9937,-0.9301
4.000,sun,1.0000,0.0000,0.0000
4.000,mercury,1.0000,-0.4000,-0.6928
4.000,venus,1.0000,-1.0800,-0.5230
4.000,earth,1.0000,-1.4468,-0.8926
4.000,mars,1.0000,-1.4860,-1.6223
5.000,sun,1.2500,0.0000,0.0000
5.000,mercury,1.2500,0.4000,-0.6928
5.000,venus,1.2500,-0.4912,-1.0949
5.000,earth,1.2500,-0.8066,-1.4964
5.000,mars,1.2500,-0.7521,-2.0675
6.000,sun,1.5000,0.0000,0.0000
6.000,mercury,1.5000,0.8000,-0.0000
6.000,venus,1.5000,0.3275,-1.1545
6.000,earth,1.5000,0.0496,-1.6993
6.000,mars,1.5000,0.0963,-2.1979
7.000,sun,1.7500,0.0000,0.0000
7.000,mercury,1.7500,0.4000,0.6928
7.000,venus,1.7500,0.9929,-0.6739
7.000,earth,1.7500,0.8926,-1.4468
7.000,mars,1.7500,0.9301,-1.9937
8.000,sun,2.0000,0.0000,0.0000
8.000,mercury,2.0000,-0.4000,0.6928
8.000,venus,2.0000,1.1938,0.1220
8.000,earth,2.0000,1.4964,-0.8066
8.000,mars,2.0000,1.6223,-1.4860
9.000,sun,2.2500,0.0000,0.0000
9.000,mercury,2.2500,-0.8000,0.0000
9.000,venus,2.2500,0.8360,0.8608
9.000,earth,2.2500,1.6993,0.0496
9.000,mars,2.2500,2.0675,-0.7521
10.000,sun,2.5000,0.0000,0.0000
10.000,mercury,2.5000,-0.4000,-0.6928
10.000,venus,2.5000,0.0871,1.1968
10.000,earth,2.5000,1.4468,0.8926
10.000,mars,2.5000,2.1979,0.0963
11.000,sun,2.7500,0.0000,0.0000
11.000,mercury,2.7500,0.4000,-0.6928
11.000,venus,2.7500,-0.7026,0.9728
11.000,earth,2.7500,0.8066,1.4964
11.000,mars,2.7500,1.9937,0.9301
12.000,sun,3.0000,0.0000,0.0000
12.000,mercury,3.0000,0.8000,-0.0000
12.000,venus,3.0000,-1.1635,0.2936
12.000,earth,3.0000,-0.0496,1.6993
12.000,mars,3.0000,1.4860,1.6223
13.000,sun,3.2500,0.0000,0.0000
13.000,mercury,3.2500,0.4000,0.6928
13.000,venus,3.2500,-1.0800,-0.5230
13.000,earth,3.2500,-0.8926,1.4468
13.000,mars,3.2500,0.7521,2.0675
14.000,sun,3.5000,0.0000,0.0000
14.000,mercury,3.5000,-0.4000,0.6928
14.000,venus,3.5000,-0.4912,-1.0949
14.000,earth,3.5000,-1.4964,0.8066
14.000,mars,3.5000,-0.0963,2.1979
15.000,sun,3.7500,0.0000,0.0000
15.000,mercury,3.7500,-0.8000,0.0000
15.000,venus,3.7500,0.3275,-1.1545
15.000,earth,3.7500,-1.6993,-0.0496
15.000,mars,3.7500,-0.9301,1.9937
16.000,sun,4.0000,0.0000,0.0000
16.000,mercury,4.0000,-0.4000,-0.6928
16.000,venus,4.0000,0.9929,-0.6739
16.000,earth,4.0000,-1.4468,-0.8926
16.000,mars,4.0000,-1.6223,1.4860
17.000,sun,4.2500,0.0000,0.0000
17.000,mercury,4.2500,0.4000,-0.6928
17.000,venus,4.2500,1.1938,0.1220
17.000,earth,4.2500,-0.8066,-1.4964
17.000,mars,4.2500,-2.0675,0.7521
18.000,sun,4.5000,0.0000,0.0000
18.000,mercury,4.5000,0.8000,-0.0000
18.000,venus,4.5000,0.8360,0.8608
18.000,earth,4.5000,0.0496,-1.6993
18.000,mars,4.5000,-2.1979,-0.0963
19.000,sun,4.7500,0.0000,0.0000
19.000,mercury,4.7500,0.4000,0.6928
19.000,venus,4.7500,0.0871,1.1968
19.000,earth,4.7500,0.8926,-1.4468
19.000,mars,4.7500,-1.9937,-0.9301
