timestamp,object_id,x,y,z
0.000,sun,0.0000,0.0000,0.0000
0.000,mercury,0.0000,0.8000,0.0000
0.000,venus,0.0000,0.8360,0.8608
0.000,earth,0.0000,-0.0496,1.6993
0.000,mars,0.0000,-1.6223,1.4860
0.100,sun,0.0250,0.0000,0.0000
0.100,mercury,0.0250,0.7956,0.0836
0.100,venus,0.0250,0.7740,0.9171
0.100,earth,0.0250,-0.1385,1.6943
0.100,mars,0.0250,-1.6794,1.4212
0.200,sun,0.0500,0.0000,0.0000
0.200,mercury,0.0500,0.7825,0.1663
0.200,venus,0.0500,0.7081,0.9688
0.200,earth,0.0500,-0.2270,1.6848
0.200,mars,0.0500,-1.7339,1.3542
0.300,sun,0.0750,0.0000,0.0000
0.300,mercury,0.0750,0.7608,0.2472
0.300,venus,0.0750,0.6388,1.0158
0.300,earth,0.0750,-0.3149,1.6706
0.300,mars,0.0750,-1.7857,1.2850
0.400,sun,0.1000,0.0000,0.0000
0.400,mercury,0.1000,0.7308,0.3254
0.400,venus,0.1000,0.5664,1.0579
0.400,earth,0.1000,-0.4019,1.6518
0.400,mars,0.1000,-1.8348,1.2139
0.500,sun,0.1250,0.0000,0.0000
0.500,mercury,0.1250,0.6928,0.4000
0.500,venus,0.1250,0.4912,1.0949
0.500,earth,0.1250,-0.4878,1.6285
0.500,mars,0.1250,-1.8810,1.1410
0.600,sun,0.1500,0.0000,0.0000
0.600,mercury,0.1500,0.6472,0.4702
0.600,venus,0.1500,0.4136,1.1265
0.600,earth,0.1500,-0.5723,1.6008
0.600,mars,0.1500,-1.9243,1.0662
0.700,sun,0.1750,0.0000,0.0000
0.700,mercury,0.1750,0.5945,0.5353
0.700,venus,0.1750,0.3341,1.1526
0.700,earth,0.1750,-0.6553,1.5686
0.700,mars,0.1750,-1.9647,0.9899
0.800,sun,0.2000,0.0000,0.0000
0.800,mercury,0.2000,0.5353,0.5945
0.800,venus,0.2000,0.2528,1.1731
0.800,earth,0.2000,-0.7365,1.5322
0.800,mars,0.2000,-2.0021,0.9120
0.900,sun,0.2250,0.0000,0.0000
0.900,mercury,0.2250,0.4702,0.6472
0.900,venus,0.2250,0.1704,1.1878
0.900,earth,0.2250,-0.8157,1.4915
0.900,mars,0.2250,-2.0363,0.8327
1.000,sun,0.2500,0.0000,0.0000
1.000,mercury,0.2500,0.4000,0.6928
1.000,venus,0.2500,0.0871,1.1968
1.000,earth,0.2500,-0.8926,1.4468
1.000,mars,0.2500,-2.0675,0.7521
1.100,sun,0.2750,0.0000,0.0000
1.100,mercury,0.2750,0.3254,0.7308
1.100,venus,0.2750,0.0034,1.2000
1.100,earth,0.2750,-0.9671,1.3981
1.100,mars,0.2750,-2.0954,0.6703
1.200,sun,0.3000,0.0000,0.0000
1.200,mercury,0.3000,0.2472,0.7608
1.200,venus,0.3000,-0.0803,1.1973
1.200,earth,0.3000,-1.0390,1.3456
1.200,mars,0.3000,-2.1201,0.5876
1.300,sun,0.3250,0.0000,0.0000
1.300,mercury,0.3250,0.1663,0.7825
1.300,venus,0.3250,-0.1636,1.1888
1.300,earth,0.3250,-1.1080,1.2893
1.300,mars,0.3250,-2.1415,0.5039
1.400,sun,0.3500,0.0000,0.0000
1.400,mercury,0.3500,0.0836,0.7956
1.400,venus,0.3500,-0.2461,1.1745
1.400,earth,0.3500,-1.1739,1.2296
1.400,mars,0.3500,-2.1597,0.4194
1.500,sun,0.3750,0.0000,0.0000
1.500,mercury,0.3750,0.0000,0.8000
1.500,venus,0.3750,-0.3275,1.1545
1.500,earth,0.3750,-1.2367,1.1665
1.500,mars,0.3750,-2.1745,0.3343
1.600,sun,0.4000,0.0000,0.0000
1.600,mercury,0.4000,-0.0836,0.7956
1.600,venus,0.4000,-0.4072,1.1288
1.600,earth,0.4000,-1.2960,1.1001
1.600,mars,0.4000,-2.1859,0.2487
1.700,sun,0.4250,0.0000,0.0000
1.700,mercury,0.4250,-0.1663,0.7825
1.700,venus,0.4250,-0.4850,1.0976
1.700,earth,0.4250,-1.3518,1.0308
1.700,mars,0.4250,-2.1940,0.1627
